id	category	difficulty	text	what_it_does	details	source_hint	tags
py-sys-argv	python	2	script, *args = sys.argv	unpack command-line arguments	sys.argv[0] is the script name	seed	python-basics,argv,cli
py-environ	python	1	value = os.environ.get("HOME", "/tmp")	read an environment variable with default	.get() avoids KeyError if unset	seed	python-basics,environ,os
py-main-guard	python	1	if __name__ == "__main__":	guard for script entry point	prevents code from running on import	seed	python-basics,main,guard
py-type-hint	python	2	def process(items: list[str]) -> int:	add type hints to a function	hints are not enforced at runtime	seed	python-basics,types,hint
py-dataclass	python	2	@dataclass class Config:	define a dataclass	auto-generates __init__, __repr__, __eq__	seed	python-basics,dataclass
py-csv-reader	python	2	reader = csv.DictReader(f, delimiter="\t")	read a TSV/CSV file as dicts	each row becomes a dict keyed by header names	seed	python-files,csv,read
py-argparse	python	2	parser = argparse.ArgumentParser(description="tool")	create a CLI argument parser	add_argument() to define flags and positionals	seed	python-basics,argparse,cli
py-re-search	python	2	match = re.search(r"pattern", text)	search for a regex pattern in text	returns None if no match; use match.group() for result	seed	python-basics,regex,search
py-re-findall	python	2	matches = re.findall(r"\d+", text)	find all regex matches in text	returns a list of matching strings	seed	python-basics,regex,findall
py-counter	python	2	from collections import Counter	import Counter for frequency counting	Counter("abracadabra") gives letter frequencies	seed	python-collections,counter,import
py-defaultdict	python	2	from collections import defaultdict	import defaultdict for auto-initializing dicts	defaultdict(list) auto-creates empty lists for new keys	seed	python-collections,defaultdict,import
